block_mapview_set_map_type_body_1	set Map type
block_mapview_set_marker_color_body_1	marker id
block_mapview_set_marker_color_body_2	set color
block_mapview_set_marker_color_body_3	alpha
block_mapview_set_marker_icon_body_1	marker id
block_mapview_set_marker_icon_body_2	set icon
block_mapview_set_marker_info_body_1	marker id
block_mapview_set_marker_info_body_2	set title
block_mapview_set_marker_info_body_3	snippet
block_mapview_set_marker_position_body_1	marker id
block_mapview_set_marker_position_body_2	set position lat
block_mapview_set_marker_position_body_3	lng
block_mapview_set_marker_visible_body_1	marker id
block_mapview_set_marker_visible_body_2	set visible
block_mapview_zoom_in_tail	zoom in
block_mapview_zoom_out_tail	zoom out
block_mapview_zoom_to_body_1	zoom to
block_math_abs_head	absolute value of
block_math_acos_head	arccos
block_math_asin_head	arcsin
block_math_atan_head	arctan
block_math_ceil_head	ceil
block_math_cos_head	cos
block_math_e_head	E(e)
block_math_exp_head	exp
block_math_floor_head	floor
block_math_log10_head	log
block_math_log_head	ln
block_math_max_body_1	and
block_math_max_head	maximum of
block_math_min_body_1	and
block_math_min_head	minimum of
block_math_pi_head	PI(π)
block_math_pow_body_1	to the
block_math_pow_tail	power
block_math_round_head	round
block_math_sin_head	sin
block_math_sqrt_head	square root of
block_math_tan_head	tan
block_math_to_degree_head	Radian
block_math_to_degree_tail	to Degree
block_math_to_radian_head	Degree
block_math_to_radian_tail	to Radian
block_mediaplayer_create_body_1	create
block_mediaplayer_get_current_tail	get current duration
block_mediaplayer_get_duration_tail	get song duration
block_mediaplayer_is_looping_tail	is looping
block_mediaplayer_is_playing_tail	is playing
block_mediaplayer_pause_tail	pause
block_mediaplayer_release_tail	release
block_mediaplayer_reset_tail	reset
block_mediaplayer_seek_body_1	seek to
block_mediaplayer_set_looping_body_1	set looping
block_mediaplayer_start_tail	start
block_minus_body_1	-
block_not_head	not
block_objectanimator_cancel_tail	cancel
block_objectanimator_is_running_tail	is running
block_objectanimator_set_duration_body_1	set duration
block_objectanimator_set_from_to_body_1	set values from
block_objectanimator_set_from_to_body_2	to
block_objectanimator_set_interpolator_body_1	set interpolator
block_objectanimator_set_property_body_1	set property
block_objectanimator_set_repeat_count_body_1	set repeat count
block_objectanimator_set_repeat_mode_body_1	set repeat mode
block_objectanimator_set_target_body_1	set target
block_objectanimator_set_value_body_1	set value
block_objectanimator_start_tail	start
block_or_body_1	or
block_plus_body_1	+
block_random_body_1	to
block_random_head	pick random
block_repeat_head	repeat
block_request_focus_tail	request focus
block_requestnetwork_set_headers_body_1	set headers
block_requestnetwork_set_params_body_1	set params
block_requestnetwork_set_params_body_2	to request type
block_requestnetwork_start_request_network_body_1	start network request to method
block_requestnetwork_start_request_network_body_2	to url
block_requestnetwork_start_request_network_body_3	with tag
block_resize_bitmap_circle_body_1	to path
block_resize_bitmap_circle_head	resize image to circle from path
block_resize_bitmap_ratio_body_1	to path
block_resize_bitmap_ratio_body_2	max size
block_resize_bitmap_ratio_head	resize image retain ratio from path
block_resize_bitmap_rounded_body_1	to path
block_resize_bitmap_rounded_body_2	round pixels
block_resize_bitmap_rounded_head	resize image rounded from path
block_resize_bitmap_square_body_1	to path
block_resize_bitmap_square_body_2	max size
block_resize_bitmap_square_head	resize image to square from path
block_rest_body_1	%
block_rotate_bitmap_body_1	to path
block_rotate_bitmap_body_2	angle
block_rotate_bitmap_head	rotate image from path
block_scale_bitmap_body_1	to path
block_scale_bitmap_body_2	x
