common_message_loading	Now Loading
common_message_name_unavailable	Current name is unavailable
common_message_permission_denied	Permission denied
common_message_permission_need_load_project	We need your permission to Storage to save and load projects
common_message_permission_storage	To access photos, media, and files, please give Sketchware permission in the next step
common_message_permission_storage1	"Permission Denied.\nPlease click on Settings to allow permission for Storage. Without this permission, some features may not function properly"
common_message_permission_title_storage	Permission Required
common_message_progress	Progressing
common_message_selected_file_empty	Selected file is empty
common_signin_button_text	Sign in
common_signin_button_text_long	Sign in with Google
common_word_accept	Save
common_word_activity	Activity
common_word_add	Add
common_word_agree	Agree
common_word_all	ALL
common_word_block	Block
common_word_cancel	Cancel
common_word_change	Change
common_word_choose	Choose
common_word_close	Close
common_word_collection	Collection
common_word_component	Component
common_word_continue	Continue
common_word_contributor	Contributor
common_word_copy	Copy
common_word_create	Create
common_word_custom_view	Custom View
common_word_decrypt	Decrypt
common_word_delete	Delete
common_word_deleted	Deleted!
common_word_dismiss	Dismiss
common_word_deprecated	*deprecated
common_word_description	Description
common_word_detail	Detail
common_word_download	Download
common_word_duplicate	Duplicate
common_word_drawer	Drawer
common_word_edit	Edit
common_word_ended	Ended
common_word_enroll	Enroll
common_word_enrolled	Enrolled
common_word_exit	Exit
common_word_export	Export
common_word_finish	Finish
common_word_font	Font
common_word_go_to_documentation	Go To Documentation
common_word_goback	Go Back
common_word_image	Image
common_word_import_all	Import all
common_word_import	Import
common_word_import_count	Import %s Item(s)
common_word_information	Information
common_word_locale	Locale
common_word_modify	Modify
common_word_moreblock	Moreblock
common_word_next	NEXT
common_word_no	No
common_word_ok	OK
common_word_prev	PREV
common_word_preview	Preview
common_word_private	private
common_word_progressing	In Progress
common_word_project_information	Project Information
common_word_project_information_app_name	App Name
common_word_project_information_package	Package
common_word_project_information_project	Project
common_word_project_information_version_code	Version code
common_word_project_information_version_name	Version name
common_word_public	public
common_word_purchase	Purchase
common_word_remove	Remove
common_word_reset	Reset
common_word_restore	Restore
common_word_review	Review
common_word_run	Run
common_word_save	Save
common_word_saved	Saved
common_word_save_as_new	Save as new
common_word_see_all	See All
common_word_see_more	See More
common_word_select	Select
common_word_select_variant	Select a Variant
common_word_change_variant	Change the Variant
common_word_create_variant	Create new Variant
common_word_import_variant	Import from Default Variant
common_word_settings	Settings
common_word_share	Share
common_word_show	Show
common_word_sound	Sound
common_word_step	Step %d
common_word_submit	Submit
common_word_try_again	Try Again
common_word_update	Update
common_word_upload	Upload
common_word_variable	Variable
common_word_view	View
common_word_warning	Warning
common_word_watch	Watch
common_word_widget	Widget
common_word_yes	Yes
common_word_new	New
component_add_docs_button_title_go_to_docs	Read Documentation
component_add_message_docs_updated_soon	The docs page will be updated soon
component_context_menu_title	Component menu
component_context_menu_title_delete_component	Delete Component
component_description_bluetooth_connect	Bluetooth Connect is used to connect to another device via Bluetooth.
component_description_calendar	Calendar is used to calculate time and date
component_description_camera	Camera is used to take a picture.
component_description_dialog	Dialog is used to create a pop-up
component_description_file	File is used to save data locally
component_description_file_picker	FilePicker is used to select raw and media files, such as images, sounds, and text.
component_description_file_picker_guide_mime_type_example	"MIME type is used to identify a type of data.\nex)\"*/*\", \"image/*\", \"audio/*\", \"text/*\""
component_description_firebase_auth	Firebase Auth allows online user authentication
component_description_firebase_storage	Firebase Storage is built for app developers who need to store and serve user-generated content.
component_description_gyrosope	"The gyroscope measures the rate of rotation in rad/s around a device's x, y, and z axis."
component_description_intent	Intent is used to start a new Activity
component_description_interstitial_ad	Interstitial Ad lets you add fullscreen advertisements.
component_description_location_manager	LocationManager is used to load a data of the current location
component_description_mediaplayer	MediaPlayer is used to play big sound files
component_description_objectanimator	ObjectAnimator is used to animate certain properties of a View
component_description_request_network	RequestNetwork is used to make Web API calls
component_description_soundpool	SoundPool is used to play short sound effects
component_description_speech_to_text	SpeechToText is used to convert speech to text
component_description_text_to_speech	TextToSpeech is used to convert text to speech
component_description_timer	Timer is used to delay certain actions
component_description_vibrator	Vibrator is used vibrate the device
component_file_hint_enter_file_name	Enter file name
component_file_picker_hint_mime_type	Enter mime type
component_file_picker_title_select_mime_type	Select Mime Type
component_file_picker_title_select_mime_type_all_files	All files
component_file_picker_title_select_mime_type_audio_files	Audio files
component_file_picker_title_select_mime_type_image_files	Image files
component_file_picker_title_select_mime_type_text_files	Text files
component_file_title_file_name	File name
component_hint_enter_name	Enter Component name
component_message_component_block_added	New blocks have been added in the Logic Editor
component_message_no_components	No components to display
component_title_add_component	Add component
design_actionbar_title_library	Library Manager
design_actionbar_title_manager_collection	Collection Manager
design_actionbar_title_manager_font	Font Manager
design_actionbar_title_manager_image	Image Manager
design_actionbar_title_manager_sound	Sound Manager
design_actionbar_title_manager_view	View Manager
design_actionbar_title_manager_resources	Resources Editor
resource_manager_no_list_title	No %s here
resource_manager_no_list_body	You don\'t have any %s here yet, try creating one.
design_actionbar_title_show_source_code	Show built-in source code
design_button_properties	Properties
design_drawer_menu_bottom_title	Global
design_drawer_menu_description_collection	My saved collections
design_drawer_menu_description_font	Import different fonts
design_drawer_menu_description_image	Import photos and icons
design_drawer_menu_description_library	Component settings
