text_title_menu_broadcast	Background Service
text_subtitle_menu_broadcast	Import Background Service files
text_title_menu_java	Java/Kotlin Manager
text_subtitle_menu_java	Import Java/Kotlin files
component_description_video_ad	Video Ad lets you add video advertisements
component_description_progress_dialog	Create popup dialog style progress
component_description_date_picker_dialog	Dialog to pick date
component_description_time_picker_dialog	Dialog to pick time
component_description_notification	Create notification
logic_editor_title_select_component	Select Component
component_description_fragment_adapter	FragmentStatePagerAdapter uses with TabLayout and ViewPager to manage each page.
design_drawer_menu_injection	AppCompat Manager
design_drawer_menu_injection_subtitle	Modify AppCompat layouts
component_description_fb_phone_auth	Firebase Phone is used with Firebase Auth to sign into your app with a phone number
component_description_fb_dynamic	Firebase Dynamic Links are smart URLs that allow you to send existing and potential users to any location within your app
component_description_fb_fcm	Firebase Cloud Messaging is used to send and receive push notifications
component_description_fb_google	Firebase Google Sign is used with Firebase Auth to sign into your app with a Google account
component_description_fb_admin	OneSignal is the market leader in customer engagement, powering mobile push, web push, email, and in-app messages
component_description_fb_ads_banner	Facebook Ads Banner is used to display an ad banner with Facebook ads
component_description_fb_ads_interstitial	Facebook Ads Interstitial is used to display interstitial ads with Facebook ads
design_drawer_menu_androidmanifest	AndroidManifest Manager
design_drawer_menu_androidmanifest_subtitle	Modify AndroidManifest
design_drawer_menu_proguard	Code Shrinking Manager
design_drawer_menu_proguard_subtitle	Minimize/obfuscate your app with R8/ProGuard
design_drawer_menu_stringfog	StringFog Manager
design_drawer_menu_stringfog_subtitle	Encrypt strings in your app at compilation time
design_drawer_menu_subtitle_editor_code	Edit any Java and XML file
design_drawer_menu_nativelibs	Native Library Manager
design_drawer_menu_nativelibs_subtitle	Add native libraries (.so)
design_drawer_menu_customblocks	See Custom Blocks
design_drawer_menu_customblocks_subtitle	See used custom blocks
design_drawer_menu_title_logcat_reader	Logcat Reader Manager
design_drawer_menu_subtitle_logcat_reader	Read logs from enabled projects
myprojects_list_menu_title_restore_projects	Restore Projects
sort_projects	Sort projects
code_shrinker_use_r8	Use R8
code_shrinker_obfuscate_def	Activating R8/ProGuard will minimize and obfuscate your project by renaming existing classes and methods on compilation time.
code_shrinker_warning	Using R8/ProGuard might be risky to some extent. Make sure to provide a proper rules configuration file in order not to break your project.
code_shrinker_rules	Code Shrinker Rules
code_shrinker_configure_shrinker	Configure R8/ProGuard by editing the rules file. This step is necessary because without a proper configuration, ProGuard might break your project.
code_shrinker_full_mode_def	Using this, you can configure specific local libs to be included in R8/ProGuarding process. (Note: Enabling this will ignore DEX files of the local libs you select and it will force Sketchware to compile them to dex, making compilation noticeably slower.)
code_shrinker_generate_debug_files	Generate debug files
local_library_manager_dependency_example	Example: org.ow2.asm:asm:9.5
local_library_manager	Local library Manager
local_library_manager_download	Download a library
local_library_manager_enter_dependency	Enter dependency
local_library_manager_dependency_info	You can find the dependency of a library in GitHub, typically in the Readme file.
local_library_manager_no_libraries_title	No Local libraries available
local_library_manager_no_libraries_body	You don\'t have any Local libraries yet, try downloading one.
local_library_manager_download_status	Download status
local_library_manager_skip_downloading_dependencies	Skip downloading sub-dependencies
signatures_title	Signatures
settings_appearance	Appearance
settings_appearance_description	Change the Sketchware appearance
settings_appearance_theme	Sketchware Theme
settings_appearance_theme_system	System default
settings_appearance_theme_light	Light theme
settings_appearance_theme_dark	Dark theme
settings_events_manager	Events manager
settings_events_manager_activity_events	Activity events
settings_events_manager_listeners	Listeners
settings_events_manager_details	Events manager Details
settings_block_selector	Block Selector Manager
assets_manager_title	Assets Manager
assets_manager_options	Create or import
assets_manager_add_new	Create new
assets_manager_add_file	Import file
assets_manager_nofiles_title	No files here
assets_manager_nofiles_body	You don\'t have any files here yet, try creating one.
assets_manager_rename	Rename
about_title	About Sketchware Pro
about_team_title	The team
about_specialthanks_title	Special Thanks
about_changelog_title	Changelog
about_beta_changes_title	Beta Changes
about_loading_title	Getting data…
about_loading_subtitle	Don\'t worry, it won\'t take more than a second.
about_joindiscord	Join our Discord server
link_github_commits_url	<![CDATA[https://api.github.com/repos/Sketchware-Pro/Sketchware-Pro/commits?per_page=%s&page=%s]]>
github_api_error_message	Something went wrong. Please wait and try again.
github_api_date_unavailable	Date unavailable
change_launcher_activity_dialog_title	Launcher Activity
common_word_add_activtiy	Add Activity
delete_custom_activity_dialog_message	All features related to %1$s will be removed. Are you sure?
delete_custom_activity_dialog_title	Delete Activity
delete_project_dialog_title	Delete project
delete_project_dialog_message	Are you sure you want to delete this project named %1$s?
src_code_editor_unsaved_changes_dialog_warning_message	You have unsaved changes. Are you sure you want to exit?
change_firebase_config_title	Change Firebase Config
review_firebase_config_title	Review
edit_view_properties_title	Edit Properties
search_in_palettes_dialog_title	Search palettes
search	Search
cancel	Cancel
restore	Restore
searching	Searching…
restoring	Restoring…
search_error_message	Nothing found,\ntry again with something else
search_header	"  Search…"
xml_strings	XML Strings
create_new_widget	Create a widget
import_widgets	Import Widgets
export_widgets	Export Widgets
widget_editor	Widget editor
var_is_required	%s is required
widget_type_title	Widget type
new_class	Or create a new category
add_to	Add to category
used_custom_blocks	Used Custom Blocks
property_enter_value	Enter %s value
code_viewer	Code Viewer
block_name	Block Name
resources_manager_xml_load_failed_message	data loading failed in \"%s\" \nPlease open the code editor to fix the issue manually
resources_manager_xml_load_failed_title	Data Loading Failed
resources_manager_xml_important_note_title	Important Note :
resources_manager_xml_important_note_message_strings	Changing the `app_name` value will directly affect this project\'s application name
resources_manager_xml_important_note_message_colors	Changing primary colors will affect the app\'s visual theme, including buttons and highlights
resources_editor_unsaved_changes_message	You have unsaved changes in \"%s\"\nDo you want to save your changes before quitting?
resources_editor_unsaved_changes_message_variant_change	You have unsaved changes in \"%s\"\nDo you want to save your changes before changing the variant?
save_to_collection	Save to collection
unknown_attr	Unknown Attribute
attr_already_exist	This attribute already exists
